domain,ideology,type
yahoo.com/news,0.0848,national
finance.yahoo.com,0.1467,national
twistity.com,,national
wisedime.com,,national
medios1.com,,international
dailymail.co.uk,0.2105,international
dailydot.com,-0.401,national
bing.com/news,,
telemundo.com,-0.1834,national
stupiddope.com,-0.4595,national
news.google.com,-0.1244,national
washingtonpost.com,-0.2342,national
roughlyexplained.com,,national
cnn.com,-0.1183,national
foxnews.com,0.6079,national
hollywoodreporter.com,-0.2197,national
buzzfeed.com,-0.1616,national
drudgereport.com,0.8839,national
nytimes.com,-0.2602,national
msn.com/en-us/news,0.1119,
al.com,0.0245,local
abcnews.go.com,-0.0384,national
forbes.com,0.0465,national
uol.com.br,,
usatoday.com,0.0582,national
dailykos.com,-0.7052,national
variety.com,-0.2409,national
businessinsider.com,-0.0373,national
people.com,-0.0398,
huffpost.com,-0.3121,national
pjmedia.com,0.8157,national
vulture.com,-0.5491,national
thedailybeast.com,-0.3825,national
cbs.com,-0.0024,national
huffingtonpost.com,-0.2383,national
dailygreatest.com,,national
jezebel.com,-0.6633,national
cbsnews.com,-0.017,national
blackenterprise.com,-0.6226,
wired.com,-0.2354,national
theguardian.com,-0.3893,international
thehill.com,-0.06,national
nbcnews.com,-0.1558,national
bbc.com,-0.2578,international
tmz.com,0.0672,
arcamax.com,-0.0805,national
nypost.com,0.1813,national
npr.org,-0.4161,national
latimes.com,-0.261,national
cnbc.com,0.0811,national
lehighvalleylive.com,0.1343,local
topix.com,0.0841,national
mountaineagle.com,,local
theatlantic.com,-0.4148,national
bloomberg.com,-0.0792,national
news4jax.com,0.4266,
breitbart.com,0.7419,national
emergencyemail.org,,national
marketwatch.com,0.2847,national
reuters.com,-0.1287,national
usnews.com,-0.1304,national
mashable.com,-0.1223,national
twincities.com,0.0619,local
clickondetroit.com,0.0795,
vice.com,-0.5531,national
chicagotribune.com,-0.1587,local
time.com,-0.2046,national
rawstory.com,-0.6161,national
patch.com,0.0187,local
politico.com,-0.1914,national
theroot.com,-0.7344,national
dallasnews.com,-0.2175,local
zerohedge.com,0.6771,
snopes.com,-0.165,national
wsj.com,0.0106,national
billingsgazette.com,-0.2894,local
pbs.org,-0.4077,national
nationalgeographic.com,-0.3706,national
sfgate.com,-0.1764,local
vox.com,-0.5546,national
fivethirtyeight.com,-0.388,national
dailywire.com,0.8496,national
katu.com,-0.2306,
nymag.com,-0.5637,national
slate.com,-0.5108,national
cbslocal.com,0.1124,local
independent.co.uk,-0.3455,international
nydailynews.com,-0.254,national
scmp.com,-0.1861,international
foxbusiness.com,0.6062,national
tucson.com,-0.0604,local
splinternews.com,-0.8336,national
chron.com,-0.1725,local
rd.com,0.1398,national
detroitnews.com,0.0931,local
express.co.uk,0.4419,international
bbc.co.uk,-0.2004,international
msnbc.com,-0.6243,national
nationalreview.com,0.6361,national
nj.com,-0.1036,
dailycaller.com,0.6958,national
nj.com,-0.1036,local
reason.com,0.3846,national
esquire.com,-0.4561,national
theblaze.com,0.7889,national
vanityfair.com,-0.4891,national
newsmax.com,0.6879,national
apnews.com,-0.3279,national
ky3.com,0.3347,
local10.com,0.0798,
bizjournals.com,0.1077,national
newsweek.com,-0.4096,national
ksl.com,0.6504,
inforum.com,-0.1438,local
pennlive.com,0.1539,local
freep.com,-0.1156,local
mirror.co.uk,0.1505,international
azcentral.com,0.1353,local
seattletimes.com,-0.2764,local
washingtonexaminer.com,0.5399,national
insider.com,,national
indiatimes.com,-0.0639,international
thesun.co.uk,0.3268,international
newsobserver.com,-0.1549,local
wthitv.com,,
wyff4.com,0.3045,
wvmetronews.com,0.2098,
yakimaherald.com,-0.139,local
oregonlive.com,-0.2834,local
newyorker.com,-0.5624,national
wmur.com,0.1866,
wnd.com,0.8699,national
click2houston.com,0.2227,
timesofisrael.com,0.1806,
flipboard.com,-0.0382,
westernjournal.com,0.8821,national
ynetnews.com,0.2455,international
heavy.com,-0.0231,national
ibtimes.co.in,-0.0578,international
thenation.com,-0.7298,national
wowt.com,0.3695,
9news.com,0.152,
theweek.com,-0.1771,national
salon.com,-0.5926,national
ajc.com,-0.0813,local
inquisitr.com,0.0363,national
heraldmailmedia.com,0.2935,local
motherjones.com,-0.6966,national
altoonamirror.com,0.2917,local
baynews9.com,0.3467,
rt.com,0.1466,international
rasmussenreports.com,0.7963,national
spectator.org,0.8369,national
mcall.com,0.1789,local
elitedaily.com,0.0368,national
ljworld.com,-0.02,local
startribune.com,-0.1326,local
realclearpolitics.com,0.568,national
bostonglobe.com,-0.3452,national
journalstar.com,0.4244,local
unionleader.com,0.3961,local
queerty.com,-0.7239,
omaha.com,0.4046,local
cjonline.com,0.3547,local
vindy.com,0.1866,local
alternet.org,-0.6378,national
parade.com,0.1143,national
sun-sentinel.com,0.1319,local
palmerreport.com,-0.7334,national
telegraph.co.uk,-0.0634,international
theonion.com,-0.2903,national
kansascity.com,0.1377,local
democracynow.org,-0.744,national
upi.com,0.0385,national
townhall.com,0.8498,national
philly.com,-0.1823,local
wnep.com,0.2215,
gadsdentimes.com,,local
pressofatlanticcity.com,0.108,local
axios.com,-0.3361,national
washingtontimes.com,0.6297,national
sanluisobispo.com,-0.0584,local
charlotteobserver.com,0.009,local
fox29.com,0.1491,
fox29.com,0.1491,
statesmanjournal.com,-0.0928,local
economist.com,-0.2302,national
jpost.com,0.2185,international
citizen-times.com,-0.0089,local
crooksandliars.com,-0.7006,national
sandiegouniontribune.com,-0.0839,local
miamiherald.com,-0.0444,local
infowars.com,0.7817,national
kcci.com,0.3107,
deseretnews.com,0.5662,local
fortune.com,-0.08,international
wonkette.com,-0.7557,
